City,Country,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed
Betsiamites,CA,48.9413,-68.646,17.6,25,1,9.22
Wolgast,DE,54.05,13.7667,19.99,82,100,2.62
Nouadhibou,MR,20.931,-17.0347,64.4,82,0,18.41
Gisborne,NZ,-38.6533,178.0042,73.99,63,100,8.01
Touros,BR,-5.1989,-35.4608,84.2,65,20,14.97
Lianzhou,CN,24.7811,112.3825,52.63,88,100,1.66
Kaeo,NZ,-35.1,173.7833,69.01,95,100,8.99
Nacogdoches,US,31.6002,-94.6335,66.99,94,90,6.91
Mindelo,CV,16.8901,-24.9804,69.8,68,75,20.71
Siuna,NI,13.7332,-84.7773,76.28,87,96,4.68
Mosetse,BW,-20.75,26.65,69.31,80,98,9.33
Lagoa da Canoa,BR,-9.8297,-36.7378,79.03,60,8,16.08
Alofi,NU,-19.0595,-169.9187,80.6,89,75,8.05
Anadyr,RU,64.75,177.4833,3.2,78,0,2.24
Port Moresby,PG,-9.4431,147.1797,75.2,94,20,6.91
Mogocha,RU,53.7333,119.7667,-2.07,91,48,2.19
Zaysan,KZ,47.4667,84.8667,10.4,95,100,3.62
Leh,IN,34.1667,77.5833,20.3,86,100,2.84
Makhalino,RU,53.0854,46.2211,3.52,93,100,15.05
Richards Bay,ZA,-28.783,32.0377,75.15,92,91,3.2
Port Keats,AU,-14.25,129.55,78.13,85,99,3.47
Srednekolymsk,RU,67.45,153.6833,-14.71,87,0,6.33
Belle Fourche,US,44.6714,-103.8522,3.0,71,1,6.91
Kenai,US,60.5544,-151.2583,8.01,72,90,10.36
Lipari,IT,38.4674,14.954,57.0,87,14,4.0
Bandar-e Lengeh,IR,26.5579,54.8807,69.48,53,0,10.29
Forsytheganj,BY,52.6333,29.7333,8.58,96,87,4.38
Lüderitz,NA,-26.6481,15.1594,69.85,67,0,12.48
Timrå,SE,62.487,17.3257,17.6,79,90,8.05
Salalah,OM,17.0151,54.0924,75.2,60,0,1.14
Kyren,RU,51.6828,102.1408,19.0,89,100,0.6
Coquimbo,CL,-29.9533,-71.3436,66.2,72,0,13.8
Arica,CL,-18.475,-70.3042,73.4,64,0,12.66
Vilhena,BR,-12.7406,-60.1458,73.4,100,20,8.05
San Cristobal,VE,7.7669,-72.225,86.0,54,40,11.5
Florianópolis,BR,-27.6146,-48.5012,80.6,69,20,11.5
Enshi,CN,30.3,109.4833,49.01,82,99,1.59
Zhangye,CN,38.9342,100.4517,31.24,74,44,1.66
Altay,CN,47.8667,88.1167,20.46,93,100,5.5
Coahuayana Viejo,MX,18.7333,-103.6833,80.6,41,40,7.61
Tokmak,UA,47.2514,35.7058,32.56,96,24,6.64
Port-Gentil,GA,-0.7193,8.7815,82.4,89,20,2.3
Cotacachi,EC,0.3,-78.2667,75.2,43,75,19.57
Beringovskiy,RU,63.05,179.3167,-9.54,90,97,11.45
Ţahţā,EG,26.7693,31.5021,66.2,45,0,5.75
Thompson,CA,55.7435,-97.8558,-20.2,57,75,9.22
Río Gallegos,AR,-51.6226,-69.2181,75.2,38,0,10.36
Tautira,PF,-17.7333,-149.15,86.0,62,20,11.5
Oktyabr'skoye,RU,43.0645,44.7417,26.6,100,11,4.47
Ponta do Sol,PT,32.6667,-17.1,59.0,64,83,1.01
Sibu,MY,2.3,111.8167,77.0,94,40,0.76
Wāris Alīganj,IN,25.0167,85.6333,56.01,66,0,5.46
Abu Kamal,SY,34.4506,40.9171,61.65,37,0,7.4
Aracaju,BR,-10.9111,-37.0717,82.4,65,40,9.22
Taiyuan,CN,37.8694,112.5603,21.2,68,0,2.24
Ocós,GT,14.5094,-92.1933,91.4,55,40,11.5
Bilibino,RU,68.0546,166.4372,-6.88,87,0,3.38
Kosa,RU,59.9445,54.9977,-23.26,87,78,5.08
Halifax,CA,44.6453,-63.5724,26.6,39,75,11.5
Synya,RU,65.3718,58.0387,-23.6,86,97,3.56
Agüimes,ES,27.9054,-15.4461,64.4,68,20,6.91
Marystown,CA,47.1666,-55.1483,28.65,92,58,31.92
Kindersley,CA,51.4668,-109.1682,-16.6,76,90,21.85
Quthing,LS,-30.4,27.7003,67.77,59,15,6.62
Noumea,NC,-22.2763,166.4572,80.01,88,75,2.3
Ust'-Omchug,RU,61.15,149.6333,-2.0,88,100,11.72
Erzin,TR,36.9559,36.2,62.01,64,0,4.0
Constantine,DZ,36.365,6.6147,53.6,62,0,13.8
Szécsény,HU,48.0806,19.5202,34.0,92,100,1.01
Parabel',RU,58.6978,81.4825,-5.31,91,100,5.91
Sabha,LY,27.0377,14.4283,60.64,29,40,7.0
Kushmurun,KZ,52.4503,64.6311,-15.54,85,0,6.96
Bluefields,NI,12.0137,-83.7635,86.0,70,75,4.61
Slave Lake,CA,55.2834,-114.769,-16.6,63,90,23.02
Luebo,CD,-5.35,21.4167,75.4,76,100,1.63
Jacqueville,CI,5.2052,-4.4146,82.4,89,20,6.91
Katsuura,JP,35.1333,140.3,39.2,38,20,11.5
Vestmannaeyjar,IS,63.4427,-20.2734,38.59,76,100,14.12
Grimshaw,CA,56.1834,-117.6027,-20.2,63,75,12.66
Great Falls,US,47.5002,-111.3008,-9.99,70,75,5.75
La Maná,EC,-0.9333,-79.2167,60.8,55,75,8.05
Ishigaki,JP,24.3448,124.1572,68.31,75,94,19.26
Imbituba,BR,-28.24,-48.6703,80.6,69,20,11.5
Davila,PH,18.4726,120.5763,74.82,79,100,12.91
Qinhuangdao,CN,39.9317,119.5883,34.7,73,0,7.16
Saint-Augustin,CA,51.226,-58.6502,23.99,97,100,16.62
Ulladulla,AU,-35.35,150.4667,61.0,100,75,9.22
Nālūt,LY,30.3333,10.85,55.17,35,1,4.36
Moranbah,AU,-22.0016,148.0466,72.93,79,7,14.72
Tuxpan,MX,19.55,-103.4,80.6,41,40,6.24
Lamu,KE,-2.2717,40.902,78.8,83,1,12.19
Emiliano Zapata,MX,18.8333,-99.1833,84.2,28,1,4.61
Puerto Nariño,CO,-3.7703,-70.3831,82.4,83,75,4.61
Emerald,AU,-23.5333,148.1667,75.2,78,90,6.91
Ratnagiri,IN,16.9833,73.3,72.86,40,0,6.96
Namatanai,PG,-3.6667,152.4333,79.81,83,94,4.27
Gawler,AU,-34.6,138.7333,69.01,40,0,7.0
Mbengwi,CM,6.0167,10.0,65.53,36,0,1.03
Natá,PA,8.3333,-80.5167,89.6,58,20,9.22
Atbasar,KZ,51.8,68.3333,-25.08,86,26,10.16
Sola,VU,-13.8833,167.55,81.88,73,100,3.87
Gamba,GA,-2.65,10.0,77.07,88,100,4.7
Teguise,ES,29.0605,-13.564,66.2,72,40,4.61
Juneau,US,58.3019,-134.4197,6.8,33,20,20.71
Klaksvík,FO,62.2266,-6.589,26.6,80,20,5.75
Khandyga,RU,62.6667,135.6,-22.22,85,62,1.92
Sambava,MG,-14.2667,50.1667,76.95,88,100,5.46
Ruwi,OM,23.5996,58.5507,68.0,88,0,2.3
Malbork,PL,54.0359,19.0266,16.0,92,75,3.44
Provideniya,RU,64.3833,-173.3,-5.71,77,0,15.08
Maiduguri,NG,11.8464,13.1603,72.99,20,41,9.53
Comodoro Rivadavia,AR,-45.8667,-67.5,80.6,39,0,13.8
Harper,LR,4.375,-7.7169,79.95,83,89,5.12
Dalby,AU,-27.1833,151.2667,62.6,77,1,6.91
Adrar,MR,20.5022,-10.0711,66.34,23,58,8.79
Oga,IT,46.4631,10.347,41.0,86,90,4.61
Merauke,ID,-8.4667,140.3333,78.31,88,100,10.02
Thaton,MM,16.9206,97.3714,63.77,49,3,4.25
Ostrovnoy,RU,68.0531,39.5131,4.78,90,100,15.93
Nemuro,JP,43.3236,145.575,20.61,88,58,13.87
Doha,QA,25.2867,51.5333,66.2,82,0,10.36
Coffs Harbour,AU,-30.3,153.1333,64.4,88,76,10.36
Borogontsy,RU,62.6683,131.1683,-25.56,85,13,5.41
Opuwo,NA,-18.0607,13.84,72.14,65,100,4.61
Apac,UG,1.9756,32.5386,79.03,44,67,7.65
Krosno Odrzańskie,PL,52.0549,15.0988,17.6,93,90,1.14
Rosetta,EG,31.4044,30.4164,62.6,94,0,6.91
Nsukka,NG,6.8561,7.3927,86.0,54,20,3.44
Mangochi,MW,-14.4782,35.2645,73.27,90,100,4.43
Santa Ana,US,33.7456,-117.8678,59.0,67,90,3.44
Taltal,CL,-25.4,-70.4833,70.18,64,34,6.42
Port Hedland,AU,-20.3167,118.5667,78.8,89,98,8.05
Yalutorovsk,RU,56.6536,66.3006,-9.89,89,100,8.08
Flin Flon,CA,54.7682,-101.865,-14.8,58,75,12.66
Kaitong,CN,44.8135,123.15,12.24,93,97,4.18
Sar-e Pul,AF,35.8333,66.1667,41.11,55,5,6.15
Assiut,EG,27.181,31.1837,66.2,42,0,5.75
Soller,ES,39.7662,2.7152,57.99,85,100,7.0
Vítkov,CZ,49.7744,17.7494,21.2,86,90,3.44
Manado,ID,1.487,124.8455,75.2,94,20,2.3
Madimba,TZ,-10.4,40.3333,79.29,88,100,10.71
Nioro,GM,13.35,-15.75,84.58,14,98,6.98
Bac Giang,VN,21.2667,106.2,57.2,94,75,2.3
Grand Gaube,MU,-20.0064,57.6608,77.0,78,7,3.0
The Valley,AI,18.217,-63.0578,82.4,57,20,17.27
San Onofre,CO,9.7359,-75.5263,84.27,70,61,10.29
Tygda,RU,53.1167,126.3333,-9.0,91,68,2.86
Sidi Ali,DZ,36.0998,0.4206,56.89,73,100,11.16
Lygourio,GR,37.6167,23.0333,57.99,82,40,2.3
Harboøre,DK,56.6175,8.1807,24.01,82,100,8.99
Road Town,VG,18.4167,-64.6167,82.4,65,40,12.66
Mahon,ES,39.8885,4.2658,57.2,77,20,20.71
Mount Isa,AU,-20.7333,139.5,78.8,83,96,6.53
Palizada,MX,18.25,-92.0833,86.0,54,1,10.36
Puerto Ayacucho,VE,5.6639,-67.6236,94.15,41,95,9.13
Kloulklubed,PW,7.0419,134.2556,81.39,76,100,16.46
Olinda,BR,-8.0089,-34.8553,80.6,65,20,11.5
Murmashi,RU,68.8154,32.8115,-9.4,84,40,2.24
Ban Nahin,LA,18.2418,104.2122,59.25,89,63,3.47
Rundu,NA,-17.9333,19.7667,67.66,95,100,5.28
Linhares,BR,-19.3911,-40.0722,72.0,93,91,2.68
Ankang,CN,32.68,109.0172,46.42,61,24,1.41
Larap,PH,14.299,122.6504,72.46,92,100,12.12
Mackenzie,CA,55.2999,-123.1698,-13.0,44,40,8.05
Bathsheba,BB,13.2167,-59.5167,80.6,61,40,19.57
Būgai,LT,55.4167,22.6167,12.06,96,92,9.19
Valdivia,CL,-39.8142,-73.2459,91.4,29,0,14.97
Chanika,TZ,-5.4167,38.0167,69.26,99,100,2.1
Dhārchula,IN,29.85,80.5333,54.54,41,100,3.74
San Miguel de Cozumel,MX,20.5083,-86.9458,82.4,74,90,11.5
Gizo Government Station,SB,-8.103,156.8419,82.67,76,57,13.35
Nivala,FI,63.9167,24.9667,1.0,88,100,3.49
Tres Arroyos,AR,-38.3739,-60.2798,76.64,34,12,14.9
Vila Franca do Campo,PT,37.7167,-25.4333,61.0,94,75,17.27
Indiana,US,40.0003,-86.2503,26.01,73,90,6.91
Sainte-Luce-sur-Loire,FR,47.2538,-1.4843,37.4,93,90,11.5
Manta,EC,-0.95,-80.7333,77.0,94,90,5.75
La Ronge,CA,55.1001,-105.2842,-18.4,57,90,19.57
Suhum,GH,6.0409,-0.45,82.4,89,0,12.66
Santiago del Estero,AR,-27.7951,-64.2615,72.0,84,64,4.0
Krasnohrad,UA,49.3814,35.4402,26.98,98,98,11.63
São Filipe,CV,14.8961,-24.4956,70.21,75,100,6.82
Safi,MA,32.2994,-9.2372,60.69,91,54,9.15
Kruisfontein,ZA,-34.0033,24.7314,66.0,88,0,2.89
Normandin,CA,48.8333,-72.5321,8.6,66,100,3.44
Volgorechensk,RU,57.4393,41.1555,8.6,78,75,4.47
Shizunai-furukawachō,JP,42.3339,142.3669,24.1,90,80,17.31
Melfi,IT,40.9965,15.6514,54.0,91,38,4.0
Acarí,PE,-15.4311,-74.6158,80.8,55,35,10.38
Los Llanos de Aridane,ES,28.6585,-17.9182,64.4,72,20,5.75
Raymond,US,43.9015,-70.4703,24.01,85,100,1.01
Mackay,AU,-21.15,149.2,77.0,83,90,10.36
Garoowe,SO,8.4054,48.4845,67.62,60,96,12.53
Miraflores,MX,19.2167,-98.8083,75.2,16,40,4.61
Hitoyoshi,JP,32.2167,130.75,35.01,74,0,3.0
Tual,ID,-5.6667,132.75,83.28,79,95,17.67
Beloha,MG,-25.1667,45.05,73.26,92,100,3.76
Paita,PE,-5.0892,-81.1144,86.0,54,0,16.11
Balabac,PH,7.9868,117.0645,79.02,81,94,2.28
Cooma,AU,-36.2333,149.1333,53.6,87,90,9.22
Lompoc,US,34.6391,-120.4579,55.99,71,20,6.2
San Ramon,US,37.7799,-121.978,61.0,62,90,4.61
Cam Ranh,VN,11.9214,109.1591,77.0,83,20,5.75
Gremyachinsk,RU,58.5603,57.851,-20.0,75,100,6.44
Ust'-Koksa,RU,50.2696,85.6108,-6.48,82,11,2.73
Mehamn,NO,71.0357,27.8492,24.8,80,90,24.16
Tateyama,JP,34.9833,139.8667,37.0,39,30,3.0
Pochutla,MX,15.7432,-96.4661,89.01,48,20,11.5
Samarai,PG,-10.6167,150.6667,82.02,74,100,5.99
Mossamedes,AO,-15.1961,12.1522,72.95,75,95,6.64
Kiryat Gat,IL,31.61,34.7642,63.0,45,0,1.86
Alta Floresta,BR,-9.8756,-56.0861,81.07,90,100,2.53
Margate,GB,51.3813,1.3862,33.01,60,97,4.0
Baykit,RU,61.67,96.37,0.81,88,100,7.56
Saint-Pierre,RE,-21.3393,55.4781,80.6,65,20,18.41
NEDJO,ET,9.5046,35.5019,61.84,32,22,4.56
Nynäshamn,SE,58.9034,17.9479,17.01,88,100,3.0
Antigonish,CA,45.6169,-61.9986,21.0,56,0,10.0
Kalangala,UG,-0.3089,32.225,75.25,75,89,8.9
Iranshahr,IR,27.2025,60.6848,59.0,25,0,4.61
Nerchinskiy Zavod,RU,51.3088,119.61,-8.1,91,81,2.82
Evensk,RU,61.95,159.2333,15.17,89,100,26.26
Batticaloa,LK,7.7102,81.6924,74.48,77,100,9.78
Zhangaözen,KZ,43.3,52.8,39.42,70,100,10.49
Monforte de Lemos,ES,42.5216,-7.5142,39.0,89,100,4.0
Yar-Sale,RU,66.8333,70.8333,-26.28,84,0,9.84
Rāhuri,IN,19.3833,74.65,64.94,26,0,4.52
Whitehorse,CA,60.7161,-135.0538,-23.01,67,1,2.89
Bethanien,NA,-26.502,17.1583,86.22,19,28,8.66
Haverfordwest,GB,51.8017,-4.9691,35.01,67,85,28.01
Tafalla,ES,42.5269,-1.6745,44.6,81,20,4.61
Krasnosel'kup,RU,65.7,82.4667,-11.61,88,100,16.22
Pemangkat,ID,1.1667,108.9667,77.54,89,98,6.69
Padang,ID,-0.9492,100.3543,75.2,94,20,1.14
Batagay-Alyta,RU,67.8006,130.4114,-12.5,76,100,2.77
Bossangoa,CF,6.4926,17.4552,71.22,19,73,2.8
Bilma,NE,18.6853,12.9164,70.52,19,0,8.99
Chernyshevskiy,RU,63.0128,112.4714,-10.61,91,100,12.59
Oktyabr'skiy,RU,54.4815,53.471,-10.59,84,7,4.92
Punta Alta,AR,-38.8759,-62.0736,75.94,39,0,20.29
Port-Cartier,CA,50.0334,-66.8654,14.0,44,20,14.97
Riberalta,BO,-10.9833,-66.1,87.8,70,75,9.22
Saint-Joseph,RE,-21.3667,55.6167,80.6,69,20,12.66
Pacific Grove,US,36.6177,-121.9166,57.0,76,75,3.44
City of San Pedro,PH,14.35,121.0167,75.99,88,90,2.3
Saint Anthony,US,45.0205,-93.218,9.0,43,1,13.8
Honiara,SB,-9.4333,159.95,80.94,80,66,6.13
Birao,CF,10.2849,22.7882,69.66,22,90,5.23
Najrān,SA,17.4924,44.1277,57.2,77,40,2.3
Menongue,AO,-14.6585,17.691,66.49,89,100,4.14
Amapá,BR,1.0,-52.0,76.03,95,98,4.29
Motygino,RU,58.1831,94.7592,-2.52,91,100,7.4
Alugan,PH,12.2188,125.4808,78.3,87,100,12.41
Newburn,GB,54.9876,-1.7442,34.0,51,20,11.5
Kattivākkam,IN,13.2167,80.3167,71.6,73,75,4.61
Gao,ML,16.6362,1.637,77.32,14,49,10.94
Zhigansk,RU,66.7697,123.3711,-27.53,83,0,0.63
Black Diamond,US,47.3087,-122.0032,44.01,79,86,1.01
Babu,CN,24.4167,111.5167,53.26,89,100,1.12
Gogrial,SS,8.5332,28.1004,74.01,20,24,5.39
Hofn,IS,64.2539,-15.2082,31.78,94,100,10.2
Kahului,US,20.8947,-156.47,71.6,68,75,18.41
Dalvik,IS,65.9702,-18.5286,23.0,93,90,5.57
Mporokoso,ZM,-9.3727,30.125,62.31,96,100,2.08
Cayenne,GF,4.9333,-52.3333,80.6,74,75,8.05
Beaufort,MY,5.3473,115.7455,77.0,94,20,1.88
Logan Lake,CA,50.4998,-120.8025,10.99,52,1,8.05
Lālmohan,BD,22.3384,90.7419,66.85,46,0,5.77
Marquette,US,46.5333,-87.6335,9.0,31,14,5.99
Plettenberg Bay,ZA,-34.0527,23.3716,66.22,88,3,2.35
Matara,LK,5.9485,80.5353,73.62,86,58,3.69
Catuday,PH,16.2923,119.8062,75.94,80,91,12.91
Kemijärvi,FI,66.7131,27.4306,2.71,93,53,2.84
Istanbul,TR,41.0351,28.9833,59.0,72,0,17.27
Soyo,AO,-6.1349,12.3689,78.66,83,100,5.5
Cap Malheureux,MU,-19.9842,57.6142,77.0,78,9,3.0
Abū Zabad,SD,12.35,29.25,67.73,23,24,8.95
Hobyo,SO,5.3505,48.5268,76.69,72,82,21.12
Brownsville,US,25.9018,-97.4975,82.4,57,75,10.36
Hīt,IQ,33.6416,42.8251,61.05,43,19,5.79
Halden,NO,59.1226,11.3871,19.0,67,0,6.91
Quesnel,CA,52.9999,-122.5029,-5.8,71,90,9.22
Morehead,US,37.2711,-87.1764,37.99,80,90,8.05
Solnechnyy,RU,50.7214,136.6319,-3.91,85,1,1.34
Berlevåg,NO,70.8578,29.0864,17.6,79,75,17.27
Itarema,BR,-2.9248,-39.9167,78.57,85,100,7.58
West Wendover,US,40.7391,-114.0733,51.8,32,75,11.5
Susa,IR,32.1942,48.2436,62.15,57,100,1.72
Toppenish,US,46.3774,-120.3087,35.01,56,86,2.21
Dingle,PH,10.9995,122.6711,73.26,93,98,4.43
Almaznyy,RU,48.0448,40.045,35.6,100,75,20.13
Myingyan,MM,21.4667,95.3833,64.4,49,0,1.16
Chornukhy,UA,50.2673,32.942,14.74,96,98,4.63
Beatrice,US,40.2681,-96.747,6.01,61,1,4.61
Kuytun,RU,54.3419,101.5036,13.1,94,100,4.47
